Song_ID,Song Name,Artist,Genre,Description
1,Bohemian Rhapsody,Queen,Rock,"A complex and iconic rock song with operatic sections, piano ballads, and hard rock elements. Tells a story of a man facing his regrets."
2,Imagine,John Lennon,Folk,A hopeful ballad calling for peace and unity in the world.
3,A Sky Full of Stars,Coldplay,Pop,An uplifting and atmospheric song about wonder and the universe.
4,Back in Black,AC/DC,Hard Rock,A high-energy rock anthem about returning with power and vengeance.
5,Moonlight Sonata,Ludwig van Beethoven,Classical,A hauntingly beautiful piano sonata known for its dramatic movements.
6,Billie Jean,Michael Jackson,Pop,A funky and danceable song with a catchy groove and iconic moonwalk reference.
7,Hotel California,Eagles,Rock,A mysterious and symbolic song about a luxurious hotel that guests can never leave.
8,Hey Jude,The Beatles,Pop Rock,A heartfelt and comforting song offering encouragement and support.
9,Rolling in the Deep,Adele,Soul,A powerful and soulful ballad about heartbreak and moving on.
10,Lose Yourself,Eminem,Hip Hop,A fast-paced and motivational rap song about overcoming challenges and achieving success.
11,Perfect,Ed Sheeran,Pop,A sweet and romantic song about finding the perfect person.
12,Happy,Pharrell Williams,Pop,An infectiously upbeat and positive song that celebrates happiness.
13,Can't Stop the Feeling!,Justin Timberlake,Pop Funk,A joyous and dance-filled song radiating good vibes.
14,Uptown Funk,Mark Ronson ft. Bruno Mars,Pop Funk,A smooth and funky throwback song with catchy lyrics and a danceable beat.
15,A Thousand Miles,Vanessa Carlton,Piano Pop,A melancholic and introspective song about longing and missed connections.
16,Hallelujah,Leonard Cohen,Folk Rock,"A powerful and spiritual song with many interpretations, often used for cover versions."
17,Like a Rolling Stone,Bob Dylan,Folk Rock,A thought-provoking and critical song questioning societal norms and expectations.
18,Yesterday,The Beatles,Pop Rock,A beautiful and bittersweet ballad about lost love and nostalgia.
19,Let It Be,The Beatles,Rock Ballad,A comforting and hopeful song about letting go and finding peace.
20,Africa,Toto,Pop Rock,A catchy and upbeat song with a distinctive keyboard riff and references to the continent of Africa.
21,Dancing Queen,ABBA,Pop,A disco anthem celebrating dancing and having fun.
22,Waterloo,ABBA,Pop,A catchy and energetic song that launched ABBA to international fame.
23,I Will Survive,Gloria Gaynor,Disco,An empowering and anthemic song about overcoming heartbreak and moving on.
24,Don't Stop Believin',Journey,Rock,A powerful and inspirational rock song about chasing dreams and holding onto hope.
25,Sweet Child o' Mine,Guns N' Roses,Hard Rock,A classic rock ballad with a soaring guitar solo and emotional lyrics.
26,Stairway to Heaven,Led Zeppelin,Rock,An epic and progressive rock song with a mystical and symbolic theme.
27,Purple Rain,Prince,Rock Pop,A powerful and emotional song associated with the film of the same name.
28,Redemption Song,Bob Marley,Reggae,A hopeful and uplifting song about overcoming oppression and fighting for freedom.
29,No Woman No Cry,Bob Marley,Reggae,A beautiful and soulful song about heartbreak and resilience.
30,Three Little Birds,Bob Marley,Reggae,An optimistic and uplifting song encouraging listeners to keep their spirits high.
31,Blowin' in the Wind,Bob Dylan,Folk,"A thought-provoking and timeless song about war, peace, and freedom."
32,A Change is Gonna Come,Sam Cooke,Soul,A powerful and hopeful song about the promise of change and a brighter future.
33,Respect,Aretha Franklin,Soul,A powerful and anthemic song demanding respect and equality.
34,Watermelon Sugar,Harry Styles,Pop,A bright and summery pop song with a catchy melody and optimistic vibes.
35,Crazy in Love,Beyoncé ft. Jay-Z,R&B,A sultry and confident R&B song about falling in love.
36,Get Lucky,Daft Punk ft. Pharrell Williams,Electronic Pop,A funky and danceable electronic song with a catchy hook and iconic robot vocals.
37,Titanium,David Guetta ft. Sia,Pop Dance,A powerful and uplifting pop song about strength and resilience.
38,Royals,Lorde,Pop Rock,A rebellious and catchy pop song challenging societal expectations.
39,Thinking Out Loud,Ed Sheeran,Pop,A romantic and soulful song about love and commitment.
40,Uptown Funk (Mark Ronson remix),Mark Ronson ft. Bruno Mars,Pop Funk,A high-energy remix of the original Uptown Funk with additional elements and a livelier feel.
41,Thrift Shop,Macklemore & Ryan Lewis,Hip Hop,A catchy and quirky hip hop song about finding treasures at thrift stores.
42,Radioactive,Imagine Dragons,Alternative Rock,A dark and energetic rock song about facing challenges and overcoming them.
43,Pompeii,Bastille,Indie Pop,A catchy and dramatic indie pop song about a city frozen in time.
44,Somebody That I Used to Know,Gotye ft. Kimbra,Pop Rock,A catchy and melancholic song about a past relationship.
45,Rolling in the Deep (acoustic version),Adele,Soul,"A stripped-down and raw acoustic version of the original Rolling in the Deep, showcasing Adele's powerful vocals."
46,Hey Ya!,Outkast,Hip Hop,A catchy and playful hip hop song with a positive message.
47,Mr. Brightside,The Killers,Alternative Rock,A catchy and angsty rock song about jealousy and heartbreak.
48,Seven Nation Army,The White Stripes,Rock,A minimalist and powerful rock song with a recognizable guitar riff.
49,Clint Eastwood,Gorillaz,Hip Hop,A laid-back and humorous hip hop song with cartoonish elements.
50,Can't Hold Us,Macklemore & Ryan Lewis ft. Ray Dalton,Hip Hop,A high-energy and motivational hip hop song about achieving success.
51,Livin' on a Prayer,Bon Jovi,Rock,A classic and anthemic rock song about love and holding onto hope.
52,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,Pop,A powerful and danceable pop song about finding love.
53,Like a Prayer,Madonna,Pop,A controversial and thought-provoking pop song with religious themes.
54,Billie Jean (live version),Michael Jackson,Pop,A captivating live performance of Billie Jean showcasing Jackson's iconic dance moves.
55,Creep,Radiohead,Alternative Rock,A melancholic and self-deprecating rock song about feeling like an outsider.
56,Parklife,Blur,Britpop,A catchy and quintessentially British rock song about everyday life.
57,Zombie,The Cranberries,Alternative Rock,A powerful and emotional rock song about war and loss.
58,Losing My Religion,R.E.M.,Alternative Rock,A haunting and introspective rock song about questioning faith and beliefs.
59,Smells Like Teen Spirit,Nirvana,Grunge,A raw and energetic grunge song that became an anthem for a generation.
60,Don't Look Back in Anger,Oasis,Britpop,A hopeful and anthemic Britpop song looking towards the future.
61,Song 2,Blur,Britpop,A loud and distorted rock song with a simple structure and catchy singalong chorus.
62,Champagne Supernova,Oasis,Britpop,An epic and nostalgic Britpop song with psychedelic influences.
63,Karma Chameleon,Culture Club,Pop Rock,A catchy and quirky pop song with a catchy melody and unique vocals.
64,Blue Monday,New Order,Electronic,A pioneering and influential track in the world of electronic dance music.
65,What a Wonderful World,Louis Armstrong,Jazz,A timeless and optimistic jazz song celebrating the beauty of life.
66,Take Five,Dave Brubeck Quartet,Jazz,A cool and sophisticated jazz instrumental with a unique 5/4 time signature.
67,A Night in Tunisia,Dizzy Gillespie,Bebop Jazz,A fast-paced and energetic bebop jazz standard with intricate melodies and improvisations.
68,What a Feeling,Irene Cara,Pop,"A triumphant and uplifting song from the movie ""Flashdance."""
69,I'm Gonna Wash That Man Right Outta My Hair,Rodgers & Hammerstein,Musical,"A playful and iconic song from the musical ""South Pacific."""
70,Singin' in the Rain,Gene Kelly,Musical,A joyous and celebratory song about finding happiness even in the rain.
71,Puttin' on the Ritz,Fred Astaire,Musical,A sophisticated and stylish song about getting dressed up for a night out.
72,Over the Rainbow,Judy Garland,Musical,"A hopeful and yearning song from the movie ""The Wizard of Oz."""
73,Hallelujah (Leonard Cohen version),Leonard Cohen,Folk Rock,A more stripped-down and introspective version of Hallelujah compared to other covers.
74,Sound of Silence,Simon & Garfunkel,Folk Rock,A haunting and poetic song about isolation and communication breakdown.
75,Bridge Over Troubled Water,Simon & Garfunkel,Folk Rock,A comforting and hopeful song offering support during difficult times.
76,Mr. Blue Sky,Electric Light Orchestra (ELO),Rock,A bright and upbeat rock song celebrating a beautiful day.
77,Don't Stop Me Now,Queen,Rock,A high-energy and flamboyant rock song about chasing dreams and defying limitations.
78,We Will Rock You,Queen,Rock,An anthemic rock song with a simple and powerful chant.
79,Like a Prayer (live version),Madonna,Pop,Another captivating live performance of Like a Prayer showcasing her captivating stage presence.
80,I Follow Rivers,Lykke Li,Indie Pop,A dreamy and atmospheric indie pop song about following desires.
81,Royals (stripped version),Lorde,Pop Rock,"A stripped-down and raw acoustic version of Royals, highlighting the emotion of the song."
82,A Little Respect,Erasure,Synthpop,A catchy and empowering synthpop song demanding respect.
83,Sweet Dreams (Are Made of This),Eurythmics,Synthpop,A dark and atmospheric synthpop song with a catchy melody.
84,Take On Me,a-ha,Synthpop,A classic and iconic synthpop song with a memorable music video.
85,Blue Suede Shoes,Elvis Presley,Rock and Roll,A high-energy and rebellious rock and roll song that launched Elvis' career.
86,Hound Dog,Elvis Presley,Rock and Roll,Another energetic and playful rock and roll song by Elvis.
87,Johnny B. Goode,Chuck Berry,Rock and Roll,A fast-paced and influential rock and roll song with a driving guitar riff.
88,Whole Lotta Rosie,AC/DC,Hard Rock,A high-octane and raucous hard rock song about a powerful woman.
89,Thunderstruck,AC/DC,Hard Rock,Another high-energy hard rock song with a memorable guitar intro.
90,Crazy Train,Ozzy Osbourne,Heavy Metal,A dark and intense heavy metal song about losing sanity.
91,Master of Puppets,Metallica,Heavy Metal,A complex and technically-demanding heavy metal song with dark themes.
92,Enter Sandman,Metallica,Heavy Metal,A brooding and atmospheric heavy metal song about nightmares.
93,Smells Like Teen Spirit (live version),Nirvana,Grunge,A raw and energetic live performance of Smells Like Teen Spirit capturing the band's raw energy.
94,Basket Case,Green Day,Punk Rock,A fast-paced and rebellious punk rock song about anxiety and frustration.
95,Blitzkrieg Bop,Ramones,Punk Rock,"The Ramones' ""Blitzkrieg Bop"" is a fast-paced, 3-chord punk anthem with a ""Hey ho! Let's go!"" chant, defining the genre's raw energy and rebellious spirit."
96,What a Wonderful World (live version),Louis Armstrong,Jazz,A captivating live performance of What a Wonderful World showcasing Louis Armstrong's charisma and raspy vocals.
97,Nuvole Bianche (Volare),Domenico Modugno,Italian Pop,A playful and optimistic Italian pop song with a catchy melody that became an international hit.
